"station_id","longitude","latitude","numtrips.start","numtrips.stop","netflow","use","zip","adi_state_rank","adi_national_rank","food_min_dist","food_500","bus_min_dist","bus_500"
"ch402",-87.635406,41.838464,1752,1686,-66,3438,60616,5.82352941176471,67.1764705882353,43.0839981853365,42,899.750189210684,0
"ch403",-87.631823,41.83453,2110,2120,10,4230,60616,5.82352941176471,67.1764705882353,51.9652914958531,38,383.746500021043,2
"ch405",-87.632504,41.830777,716,643,-73,1359,60616,5.82352941176471,67.1764705882353,203.359999904976,27,161.8438539991,2
"ch406",-87.608799,41.831274,555,535,-20,1090,60616,5.82352941176471,67.1764705882353,489.600191515396,2,1415.12405908465,0
"ch407",-87.626568,41.823015,77,77,0,154,60616,5.82352941176471,67.1764705882353,210.98366856528,10,454.679003256741,2
"ch408",-87.643565,41.817638,100,139,39,239,60616,5.82352941176471,67.1764705882353,253.951299568521,5,1327.20963827432,0
"ch409",-87.634819,41.816208,88,59,-29,147,60609,5.3125,61.0625,296.796092911521,6,729.29117808534,0
"ch41",-87.629544,41.872078,12354,12082,-272,24436,60605,5.61111111111111,64.7222222222222,10.2488884250157,176,277.178939454207,4
"ch410",-87.619412,41.816659,390,422,32,812,60653,5.86666666666667,68.1333333333333,32.2788855196006,9,39.1689360794713,2
"ch411",-87.645617,41.808134,315,365,50,680,60609,5.3125,61.0625,103.236212272812,8,1243.51536772272,0
"ch412",-87.633449,41.809318,220,163,-57,383,60609,5.3125,61.0625,50.522529595871,9,236.230165771664,2
"ch413",-87.597005,41.814093,925,954,29,1879,60653,5.86666666666667,68.1333333333333,402.448426342338,4,1848.13498011175,0
"ch414",-87.639474,41.870257,5561,5238,-323,10799,60402,6.59090909090909,72.0909090909091,77.0947185417775,43,599.918526282052,0
"ch415",-87.618054,41.802295,485,488,3,973,60628,4.875,58.6875,76.7905139325938,28,770.609776525644,0
"ch416",-87.592464,41.805772,1013,911,-102,1924,60615,5.76470588235294,67,446.269404111343,16,2223.69502069208,0
"ch417",-87.586924,41.802406,5007,4892,-115,9899,60615,5.76470588235294,67,31.9843314788447,90,2730.81931969843,0
"ch418",-87.600958,41.799336,3048,2898,-150,5946,60615,5.76470588235294,67,16.3258711722289,13,1515.87024767588,0
"ch419",-87.58645,41.799494,3939,4088,149,8027,NA,5.65194094747947,65.2719986419663,5.38913551326174,112,2672.61489962601,0
"ch42",-87.626488,41.852619,2543,2806,263,5349,60616,5.82352941176471,67.1764705882353,42.1003718530971,116,55.5518910834137,4
"ch420",-87.60145,41.794301,4982,4827,-155,9809,60637,5.5,63.375,40.7142158510274,41,1406.08891382021,0
"ch421",-87.61585313,41.79342923,171,159,-12,330,60621,6.125,69.9375,225.972054562735,5,282.397883596724,2
"ch422",-87.607852,41.791568,855,786,-69,1641,90615,5.53333333333333,63,154.176630748797,26,958.274654533049,0
"ch423",-87.599861,41.791478,7944,8169,225,16113,60637,5.5,63.375,30.3453696869069,65,1336.91989031996,0
"ch424",-87.583945,41.791728,4136,4038,-98,8174,NA,5.65194094747947,65.2719986419663,215.139725936843,22,2219.5553241462,0
"ch425",-87.588315,41.787943,1885,1542,-343,3427,60649,5.21428571428571,60.7142857142857,210.206657865611,11,1686.85741782203,0
"ch426",-87.601073,41.785097,4095,4279,184,8374,60637,5.5,63.375,8.28051364820315,23,664.061771733686,0
"ch427",-87.606112,41.780599,518,550,32,1068,60637,5.5,63.375,27.3979642394523,14,38.5603438454006,2
